Superficie;Habitacion;Banios;Precio
360;4;3;17000000
205;4;2;3000000
544;4;4;18790000
340;4;3;11500000
275;4;2;7650000
341;3;3;8500000
87;4;3;5000000
318;4;2;11850000
336;4;45;11705000
185;3;2;5449000
404;4;2;8950000
290;4;2;8500000
440;4;5;23000000
454;6;4;10500000
357;6;2;13500000
250;3;2;8000000
422;5;3;9500000
147;3;2;8500000
450;4;4;12000000
320;4;2;14000000
272;4;2;14100000
399;4;4;14000000
289;4;2;7775000
149;3;2;6700000
640;6;6;24000000
251;3;2;3194354
340;4;3;12850000
460;4;4;8500000
50;4;1;1531768
262;4;2;15000000
500;5;4;10800000
650;5;6;24000000
230;3;3;10527000
500;4;3;10800000
192;3;2;2200000
199;3;3;2906000
329;4;3;11212800
336;10;5;11500000
300;4;1;7660000
266;3;1;2610000
167;3;3;2656000
156;3;2;1948649
356;3;2;5500000
192;4;2;4195000
400;4;4;15000000
309;4;4;10500000
310;4;4;680000
780;5;2;24000000
230;4;1;6800000
279;4;2;8900000
279;3;2;9650000
380;6;4;9250000
528;3;3;16000000
278;4;4;10100000
982;4;4;37100000
492;5;4;25000000
169;4;3;7950000
284;6;3;6400000
700;1;1;29500000
426;4;2;12500000
320;4;3;14000000
514;8;6;10000000
380;5;3;9250000
147;3;2;8500000
320;6;5;7350000
440;4;5;23000000
460;4;2;10300000
280;3;3;8150000
330;3;3;12990000
422;5;3;9500000
420;5;3;9600000
395;4;2;7949800
810;5;4;35000000
318;4;4;12500000
380;5;4;9300000
330;3;2;12900000
357;6;2;13500000
140;4;3;5549000
720;4;5;16000000
236;4;3;11000000
230;4;3;6800000
339;4;4;11500000
519;12;8;15789000
500;3;3;9000000
650;5;6;24000000
460;4;2;11000000
248;3;3;7450000
260;4;3;8800000
420;3;2;5520000
500;5;3;11800000
170;3;2;9200000
308;3;2;10990000
486;3;3;10900000
260;3;3;8000000
300;3;6;12250000
566;3;3;16000000
513;5;7;20000000
425;4;2;16000000
249;4;2;9500000
169;3;2;6900000
150;3;3;8500000
580;5;3;16000000
209;3;2;10990000
236;4;3;10500000
519;5;2;16427000
250;4;4;9400000
336;3;3;7750000
440;4;3;14000000
225;3;2;11950000
528;3;3;16000000
392;4;4;10500000
260;4;2;3000000
310;4;3;12900000
548;3;3;16000000
339;4;3;11500000
500;5;4;10800000
373;4;3;10000000
500;5;3;11800000
338;3;2;18400000
872;3;4;17500000
426;4;4;12500000
192;3;3;5945000
481;5;3;14000000
200;4;4;8200000
460;4;4;9000000
140;4;3;5899000
430;3;3;10500000
401;4;2;10000000
200;4;1;6500000
250;4;2;3008800
600;5;4;8900000
375;4;4;10000000
422;3;3;12700000
526;3;6;12250000
140;4;3;5800000
356;5;3;14000000
363;6;5;13400000
300;3;3;10990000
289;4;2;8490000
274;3;2;7900000
404;3;3;10500000
355;5;2;17300000
650;5;6;24000000
309;4;3;12900000
320;4;4;8860000
260;4;3;7950000
440;6;3;11000000
580;5;5;16000000
360;4;3;13800000
144;3;2;3200000
274;3;2;7800000
230;4;3;6800000
190;3;1;1613175
300;4;2;8900000
430;3;3;11000000
444;4;3;8490000
258;3;2;9200000
283;4;2;8750000
440;5;3;11900000
430;4;3;11850000
320;6;5;7350000
526;4;6;12250000
310;4;3;5635000
227;4;2;10500000
330;4;4;10700000
91;3;1;1594000
300;3;3;11900000
283;4;2;8950000
287;6;4;9987000
440;5;3;11900000
68;2;1;1285000
336;3;3;15000000
113;3;2;1714000
210;3;1;7000000
255;4;5;6800000
289;3;2;7800000
300;3;3;10990000
132;3;1;1749605
350;4;2;10000000
180;6;4;9000000
200;4;2;8000000
350;4;2;13000000
120;3;3;6000000
587;6;5;18000000
200;4;1;7000000
503;4;1;11600000
530;3;4;25000000
229;4;2;5600000
146;7;5;4800000
260;4;2;14000000
218;3;1;6800000
282;5;5;7200000
300;3;3;7000000
330;5;4;9500000
340;4;4;9000000
235;4;3;6000000
190;3;1;8000000
220;4;2;6500000
280;4;2;9000000
264;3;3;10990000
468;3;3;9900000
100;2;2;5900000
